a_cup	一杯

legal	法律

legal_aid	法律援助

legal_entity	法人实体

legal_term	法律条款

legend	传说

legendary	传奇的

legion	军团

legislation	立法

legislative	立法

legislative_body	立法机关

legislative_branch	立法部门

legislator	立法者

legislature	立法机关

legitimacy	合法

leigh	利

leisure	闲暇

lemon	柠檬

lender	贷款人

lending	贷款

length	长度

lens	镜片

lens_board	镜头板

leone	利昂

les	莱

lesbian	女同性恋

lesser	较小

lesson	课

lesson_plan	课程计划

let	让

lethal	致死

letter	信

letter_bomb	信件炸弹

letter_box	信箱

letter_carrier	信载体

letter_grade	字母等级

letter_patent	信件专利

letting	出租

level	水平

leverage	杠杆作用

levin	莱文

levy	征收

lewis	刘易斯

liability	责任

liability_insurance	责任保险

liaison	联络

liberal	自由主义的

liberation	解放

liberty	自由

library	图书馆

library_assistant	图书馆助理

library_catalog	图书馆目录

library_science	图书馆学

licence	执照

license	执照

license_plate	牌照

lie	位于

lied	说谎

lien	留置权

lieutenant	陆军中尉

lieutenant_colonel	上校

lieutenant_commander	中尉

lieutenant_governor	副州长

life	生活

life_assurance	生命保证

life_coach	人生导师

life_cycle	生命周期

life_force	生命力

life_form	生命形式

life_history	生活史

life_insurance	人寿保险

life_jacket	救生衣

life_partner	生活伴侣

life_peer	同伴

life_ring	生命环

life_savings	挽救生命

life_science	生命科学

life_sentence	无期徒刑

life_span	寿命

life_story	生活故事

life_style	生活方式

life_support	生命保障

lifestyle	生活方式

lifetime	一生

lift	电梯

lifting	吊装

light	光

light_infantry	轻步兵

light_rail	轻轨列车

light_railway	轻轨

light_show	灯展

light_source	光源

lighter	打火机

lighthouse	灯塔

lighting	灯光

lightning	闪电

lightweight	轻量级

like	喜欢

likelihood	可能性

limb	肢

limestone	石灰石

limit	限制

limit_point	极限点

limited_partnership	有限合伙制

lin	林

line	线

line_art	线条艺术

line_break	越线

line_dance	线舞

line_dancing	排舞

line_drive	线驱动

line_item	订单项

line_judge	线路法官

line_segment	线段

linebacker	后卫

liner	衬垫

lineup	排队

lining	衬

link	链接

link_exchange	链接交换

link_farm	链接农场

lion	狮子

lionel	莱昂内尔

lip	唇

liquid	液体

liquid_air	液态空气

liquid_asset	流动资产

liquid_crystal	液晶

liquidity	流动性

liquor	酒

liquor_store	酒品店

list	名单

list_price	价格表

listening	听

listening_post	听的帖子

listing	清单

lit	发光的

literacy	读写能力

literary_agent	文学代理

literary_device	文学装置

literary_language	文学语言

literary_technique	文学技巧

literature	文献

litigant	当事人

litigation	诉讼

little_boy	小男孩

little_brother	小弟弟

little_girl	小姑娘

live_action	现场录制

live_album	现场专辑

live_blog	现场博客

live_oak	橡树

lively	活泼

liver	肝

liver_bird	肝鸟

liver_cancer	肝癌

lives	生活

livestock	家畜

living	活的

living_fossil	活化石

living_hell	人间地狱

living_room	客厅

living_standard	生活水平

living_thing	生物

living_tissue	活组织

load	加载

load_time	加载时间

loading	装载

loan	贷款

loan_shark	高利贷者

loan_translation	贷款翻译

loan_word	贷款词

lobby	前厅

lobbyist	说客

local	本地

local_government	地方政府

localization	本土化

location	位置

lock	锁

locker	更衣室

locomotive	机车

lodge	小屋

log	日志

logan	洛根

logging	记录

logic	逻辑

logic_board	逻辑板

logic_bomb	逻辑炸弹

logic_gate	逻辑门

logo	商标

long	长

long_division	长除法

long_jumper	跳远

long_tail	长尾巴

look	看

looking	看着

looking_glass	镜子

loop	环

loose	疏松

looting	抢劫

lord	主

loser	失败者

losing	失去

losing_streak	连败

loss	失利

loss_leader	损失负责人

lot	批量

lottery	抽奖

lottery_ticket	彩票

lotus	莲花

lounge	休息室

lounge_music	休闲音乐

love	爱

love_affair	恋爱关系

love_bite	爱咬

love_child	爱小孩

love_egg	爱蛋

love_game	爱情游戏

love_hotel	情趣酒店

love_interest	爱的兴趣

love_letter	爱情信

love_life	热爱生活

love_nest	爱巢

love_song	情歌

love_triangle	三角恋

lovely	可爱

lover	情人

loving	爱心

low	低

lowe	罗威

lower_house	下议院

lowering	降低

loyalty	忠诚

luck	运气

lucy	露西

luggage	行李

lumber	木料

lunch	午餐

lunch_box	午餐盒

lunch_lady	午餐女士

lung	肺

lung_cancer	肺癌

lure	饵

luxury	豪华

luxury_tax	奢侈税

lyon	里昂

lyrics	歌词

ma_ma	妈呀

mac	苹果电脑

machine	机

machine_code	机器码

machine_gun	机枪

machine_language	机器语言

machine_learning	机器学习

machine_pistol	机枪

machine_room	机房

machine_shop	机器商店

machine_tool	机床

machine_translation	机器翻译

machinery	机械

machines	机

mack	麦克

mad_cow	疯牛

mad_man	疯子

mad_money	我为钱狂

madeleine	马德莱娜

madison	麦迪逊

madonna	麦当娜

mafia	黑手党

magazine	杂志

magic	魔法

magic_eye	魔眼

magic_square	魔术广场

magistrate	法官

magnitude	大小

maiden	少女

mail	邮件

mail_bomb	邮件炸弹

mail_carrier	邮递员

mail_fraud	邮件欺诈

mail_order	邮购

mail_train	邮件火车

mail_truck	邮件卡车

main	主要

main_building	主楼

main_course	主菜

main_group	主要组

main_line	主线

main_stage	主舞台

mainland	大陆

mainstream	主流

mainstream_america	美国主流

maintenance	保养

major	重大的

major_element	主要元素

major_general	大将军

major_league	主要联盟

major_party	大党

major_scale	主要规模

majority	多数

majority_decision	多数决定

majority_owner	大股东

majority_rule	多数规则

make	使

maker	制作者

makeup	补偿

makeup_artist	彩妆大师

making	制造

malaria	疟疾

male	男

male_member	男成员

mali	马里

mall	购物中心

malta	马耳他

mammal	哺乳动物

man	男人

man_cave	人洞

man_page	手册页

management	管理

manager	经理

managing_director	常务董事

manchester	曼彻斯特

mandate	要求

mandatory	强制性

maneuver	演习

manga	漫画

manhattan	曼哈顿

manila	马尼拉

manipulation	操作

manner	方式

manor	庄园

manor_house	庄园别墅

mansion	大厦

manual	手册

manual_labour	手工劳力

manual_transmission	手动变速器

manufacture	制造

manufacturer	生产厂家

manufacturing	制造业

manuscript	手稿

map	地图

map_room	地图室

maple	枫

mapping	制图

marathon	马拉松

marble	大理石

marc	渣

march	游行

marching	行军

marching_band	军乐队

margin	余量

margin_call	追加保证金

maria	玛丽亚

marijuana	大麻

marina	码头

marine	海洋

marine_biology	海洋生物学

marine_corps	陆战队

marine_infantry	海上步兵

maritime_law	海商法

mark	标记

marker	标记

market	市场

market_basket	市场篮

market_day	市场日

market_discipline	市场纪律

market_economy	市场经济

market_garden	市场花园

market_maker	做市商

market_opening	市场开放

market_order	市场秩序

market_place	市场

market_price	市场价

market_research	市场调查

market_risk	市场风险

market_share	市场份额

market_square	市集广场

market_town	集镇

market_value	市场价值

marketing	营销

marketing_research	市场研究

marketplace	市井

marking	印记

marriage	婚姻

marriage_certificate	结婚证

marriage_equality	婚姻平等

married	已婚

marsh	沼泽

marshal	元帅

marshall	马歇尔

mart	市场

martial_art	武术

martial_artist	武术家

martial_law	戒严法

martin	马丁

marvel	奇迹

mary	玛丽

mask	面具

mason	石匠

mass	块

mass_burial	大规模埋葬

mass_destruction	大规模破坏

mass_funeral	集体葬礼

mass_grave	群众坟墓

mass_media	媒体

mass_murder	大屠杀

mass_number	质量数

mass_production	大量生产

mass_storage	大容量储存

mass_surveillance	群众监视

mass_transit	轨道交通

massacre	屠杀

massive	大规模的

master	主

master_bedroom	主卧室

master_class	硕士课

master_data	主要的数据

master_key	主密钥

master_plan	总体规划

master_race	大师赛

master_sergeant	军士长

match	比赛

match_play	比赛

match_point	匹配点

match_referee	比赛裁判

matching	匹配

mate	伴侣

material	材料

material_support	物质支持

math	数学

mathematical_game	数学游戏

mathematics	数学

matrix	矩阵

matter	物

maturity	到期

maturity_date	成人礼

maximum	最大值

maxwell	麦克斯韦

may	可以

maybe	也许

mayor	市长

meal	膳食

mean	意思

mean_time	与此同时

meaning	含义

meantime	与此同时

meanwhile	与此同时

measure	测量

measure_theory	测量理论

measurement	测量

meat	肉

meat_hook	肉钩

meat_market	肉类市场

mecca	麦加

mechanical_engineering	机械工业

mechanics	机械学

mechanism	机制

med	MED

medal	勋章

medal_table	奖牌桌

medalist	得主

media	媒体

media_advocacy	媒体宣传

media_bias	媒体偏见

media_circus	媒体马戏团

media_kit	媒体工具包

media_outlet	媒体出口

media_player	媒体播放器

median	中位数

mediation	调解

mediator	中间人

medical	医

medical_doctor	医生

medical_examiner	法医

medical_school	医学院

medical_student	医学专业的学生

medical_tourism	医疗旅游

medicare	医疗保险

medication	药物治疗

medicine	医学

medicine_ball	药球

medicine_cabinet	药品柜

medicine_man	药人

medicine_show	医学展示

medieval	中世纪

medina	麦地那

mediterranean_sea	地中海

medium	介质

medium_of_exchange	交换媒介

medley	混合

meet	遇到

meeting	会议

meeting_place	会议地点

meeting_room	会议室

mel	梅尔

melody	旋律

meltdown	崩溃

member	会员

member_state	会员国

membership	籍

memo	备忘录

memoir	传记

memorandum	备忘录

memorial	纪念馆

memorial_park	纪念公园

memorial_service	追悼会

memory	记忆

memory_card	存储卡

memory_chip	记忆体晶片

memory_lane	内存通道

memory_leak	内存泄漏

memory_stick	记忆棒

men	男人

menace	威胁

mental_disorder	精神障碍

mental_health	精神健康

mental_hospital	精神病院

mental_illness	精神疾病

mention	提到

mentor	导师

menu	菜单

menu_bar	菜单栏

merchandise	商品

merchant	商人

merchant_bank	商业银行

merchant_marine	商船

merchant_navy	商海军

merchant_ship	商船

merck	默克

mercury	汞

mercy	怜悯

mercy_killing	安乐死

mercy_rule	仁慈规则

mercy_seat	怜悯的座位

mere	只

merge	合并

merger	合并

merging	合并

merit	值得

mesa	台面

mess	食堂

mess_dress	烂摊子

mess_hall	食堂

message	信息

message_board	留言板

metal	金属

meter	仪表

method	方法

method_acting	方法行事

method_actor	方法演员

metre	仪表

metric	公

metro	地铁

metro_station	地铁站

metropolitan	宗主

metropolitan_area	都市区

metropolitan_borough	大都会区

metropolitan_county	大都市县

mice	老鼠

mickey	米奇

micro	微

mid	中

midday	正午

middle	中间

middle_age	中年

middle_class	中产阶级

middle_name	中间名字

middle_passage	中间通道

middle_school	初中

middle_way	中间方式

midfield	中场

midfielder	中场

midland	美联

midnight	午夜

midnight_movie	午夜电影

midnight_sun	午夜的阳光

midst	中间

midway	中途

midwest	中西部

might	威力

mighty	威武

migrant	农民

migration	移民

mike	麦克风

mild	温和

mile	英里

milestone	里程碑

militant	激进

military	军事

military_academy	军校

military_exercise	军事演习

military_order	军事命令

military_police	宪兵

military_school	军校

military_service	兵役

military_tribunal	军事法庭

militia	民兵

milk	牛奶

milk_chocolate	牛奶巧克力

milk_powder	牛奶粉

milk_tea	奶茶

mill	磨

millennium	千年

miller	磨坊主

millionaire	百万富翁

min	分

mind	心神

mind_control	精神控制

mind_game	智力游戏

mind_map	思维导图

mind_share	心智分享

miner	矿工

mineral	矿物

mineral_oil	矿物油

mineral_right	矿物权

mineral_water	矿泉水

ming	明

mini	微型

minimum	最低限度

minimum_wage	最低工资

mining	矿业

minister	部长

ministry	部

minor	次要

minor_league	小联盟

minor_planet	小行星

minority	少数民族

minority_cabinet	少数派内阁

minority_government	少数民族政府

minority_leader	少数派领袖

minority_report	少数派报告

mint	薄荷

minus	减去

minute	分钟

mir	MIR

miracle	奇迹

miracle_worker	奇迹工人

mirror	镜子

mirror_ball	镜球

mirror_image	镜像

mirror_stage	镜台

misconduct	处理不当

misery	苦难

misfortune	不幸

mishap	不测

miss	小姐

missile	导弹

missing_link	缺少链接

mission	任务

mission_statement	使命宣言

missionary	传教士

mistake	错误

mix	混合

mix_tape	混合胶带

mixed_company	混合公司

mixing	混合

mixture	混合物

mob	暴民

mob_rule	暴民统治

mobile	移动

mobile_game	手机游戏

mobile_home	移动房屋

mobile_phone	移动电话

mobility	流动性

mock	嘲笑

mode	模式

model	模型

modeling	造型

moderate	中等

modern	现代

modern_art	现代艺术

modern_dance	现代舞

modern_physics	现代物理学

modernization	现代化

modest_proposal	适度的建议

modified	改性

module	模

mom	妈妈

moment	时刻

momentum	动量

monarch	君主

monarchy	帝制

monastery	修道院

monetary_policy	货币政策

monetary_unit	货币单位

money	钱

money_bag	钱袋子

money_laundering	洗钱

money_maker	摇钱树

money_market	货币市场

money_order	汇票

money_pit	钱坑

money_shot	钱射击

money_supply	资金供应

monitor	监控

monitoring	监控

monitors	显示器

monk	僧

monkey	猴

monkey_business	胡闹

monopoly	垄断

monster	怪物

monster_truck	怪物卡车

monte	蒙特

month	月

monthly	每月一次

monument	纪念碑

moo	哞

mood	心情

mood_ring	心情环

mood_swing	情绪波动

moon	月亮

moon_landing	登陆月球

moon_shot	月亮射门

moral	道德

moral_philosophy	道德哲学

morale	情绪

moratorium	暂停

morgan	摩根

morning	早上

morning_coat	晨衣

morning_dress	晨礼服

morning_glory	喇叭花

morning_star	晨星

morning_tea	早茶

morocco	摩洛哥

morris	莫里斯

morris_dance	莫里斯舞蹈

morris_dancing	莫里斯跳舞

mortality	死亡

mortality_rate	死亡率

mortar	砂浆

mortgage	抵押

mosque	清真寺

moss	苔藓

moth	蛾

mother	母亲

mother_country	母国

mother_goddess	母亲女神

mother_language	母语

mother_sauce	母酱

mother_ship	母舰

mother_superior	上级母亲

mother_tongue	母语

motion	运动

motion_capture	动作捕捉

motion_picture	电影

motivation	动机

motive	动机

motive_power	原动力

motor	发动机

motor_car	摩托车

motor_home	汽车之家

motor_oil	机油

motor_pool	电机池

motor_racing	赛车

motor_unit	电机单元

motor_vehicle	摩托车

motorcycle	摩托车

motorcycle_club	摩托车俱乐部

motorist	司机

motto	座右铭

mound	冢

mount	安装

mountain	山

mountain_ash	山灰

mountain_bike	山地自行车

mountain_building	山区建筑

mountain_chain	山链

mountain_climbing	爬山

mountain_lion	山狮

mountain_range	山脉

mountain_top	山顶

mounted_infantry	步兵

mounted_police	骑警

mounting	安装

mourning	丧

mouse	老鼠

mouth	口

mouth_organ	口腔器官

move	移动

movement	运动

movie	电影

movie_deal	电影交易

movie_star	影星

movie_theater	电影院

movie_theatre	电影院

moving	移动

mud	泥

mud_flat	泥滩

multimedia	多媒体

multinational	跨国

multiple	多

multiple_star	聚星

multitude	苠

municipal	市政

municipal_borough	市政区

municipal_corporation	市政公司

municipality	直辖市

murder	谋杀

murderer	凶手

muscle	肌肉

muscle_car	肌肉车

muscle_memory	肌肉记忆

muscle_tone	肌肉张力

museum	博物馆

museum_piece	博物馆作品

music	音乐

music_box	音乐盒

music_center	音乐中心

music_centre	音乐中心

music_chart	音乐排行榜

music_group	音乐组

music_hall	音乐厅

music_room	音乐房

music_school	音乐学校

music_theory	音乐理论

music_therapy	音乐疗法

music_video	音乐视频

musical	音乐

musical_instrument	乐器

musician	音乐家

muster	鼓起

mutual	相互

mutual_fund	共同基金

mystery	神秘

mystery_meat	神秘的肉

mystery_play	神秘剧

mystery_tour	神秘之旅

myth	神话

mythology	神话

nail	钉

name	名称

name_brand	名牌

name_day	命名日

name_server	名称服务器

naming	命名

naming_convention	命名约定

nancy	南希

napoleon	拿破仑

narrative	叙述

narrator	叙述者

narrow_gauge	窄轨

nasty	讨厌

nation	国家

national	国民

national_academy	国家科学院

national_airline	国家航空公司

national_anthem	国歌

national_archive	国家档案馆

national_convention	国民大会

national_court	国家法院

national_day	国庆日

national_debt	国债

national_epic	民族史诗

national_grid	国家电网

national_holiday	法定假日

national_park	国家公园

national_revival	民族复兴

national_security	国家安全

national_service	国家服务

national_treasure	国家宝藏

nationalism	民族主义

nationalist	民族主义者

nationality	国籍

native	本地人

native_bear	本地熊

native_language	母语

native_speaker	母语人士

native_species	本地物种

native_title	本机标题

natural	自然

natural_disaster	自然灾害

natural_fiber	天然纤维

natural_gas	天然气

natural_history	自然历史

natural_language	自然语言

natural_law	自然法则;自然规律

natural_process	自然过程

natural_reserve	自然保护区

natural_resource	自然资源

natural_science	自然科学

nature	性质

nature_preserve	自然保护区

nature_reserve	自然保护区

naval_architect	海军建筑师

navigation	导航

navigation_channel	导航频道

navy	海军

navy_blue	海军蓝

nazi	纳粹

necessary	必要

necessity	必要性

neck	颈部

need	需要

negative	负

neglect	忽略

negotiation	谈判

negotiator	谈判代表

neighbor	邻居

neighborhood	邻里

neighbourhood	邻里

nelson	纳尔逊

nephew	外甥

nerve	神经

nerve_agent	神经毒剂

nerve_cell	神经细胞

nerve_center	神经中枢

nerve_ending	神经末梢

nerve_gas	神经毒气

nervous_system	神经系统

nest	巢

nest_box	巢箱

net	净

net_income	净收入

net_profit	净利

net_worth	净值

network	网络

network_card	网卡

network_effect	网络效应

networking	联网

neutral	中性

new	新

new_age	新时代

new_math	新数学

new_media	新媒体

new_moon	新月

new_potato	新土豆

new_school	新学校

new_standard	新标准

new_town	新城市

new_year	新年

newcomer	新人

news	新闻

news_agency	通讯社

news_anchor	新闻主播

news_channel	新闻频道

news_conference	新闻发布会

news_correspondent	新闻通讯员

news_desk	新闻台

news_flash	新闻快讯

news_media	新闻媒体

news_wire	新闻线

newscaster	新闻主播

newsletter	通讯

newspaper	报纸

newt	蝾螈

newton	牛顿

next	下一个

next_generation	下一代

nice_guy	好人

niche	壁龛

niche_market	利基市场

nick	缺口

nickel	镍

nickname	昵称

niger	尼日尔

night	晚

night_bird	夜鸟

night_club	夜店

night_letter	晚间信

night_light	小夜灯

night_school	夜校

night_shift	夜班

night_terror	夜惊

night_vision	夜间视力

night_watch	夜间值班

nightclub	夜店

nightmare	恶梦

nikkei	日经指数

nine	九

noble	高贵

nod	点头

noh	能剧

noise	噪声

noise_pollution	噪音污染

nomination	提名

nominee	被提名人

nonfiction	纪实

nonprofit	非营利性

nonsense	废话

noon	中午

norm	规范

normal	正常

north	北

north_pole	北极

north_wind	北风

northeast	东北

northwest	西北

nose	鼻子

nose_job	隆鼻

nose_ring	鼻环

notable	显着

note	注意

notebook	笔记本

noted	注意

notice	注意

notice_board	公告栏

notion	概念

nova	新星

novel	小说

novelist	小说家

nowhere	无处

nuclear_energy	核能

nuclear_physics	核物理

nuclear_power	核电

nuclear_weapon	核武器

number	数

number_eleven	十一号

number_line	数字线

number_plate	车牌号

number_system	编号系统

number_theory	数论

numeral	数字

nurse	护士

nursing	看护

nursing_home	疗养院

nutrition	营养

oak	橡木

oak_tree	橡树

oath	誓言

obesity	肥胖

object	宾语

object_code	目标代码

object_lesson	对象课

objection	异议

objective	目的

oblast	州

obligation	义务

observation	意见

observatory	天文台

observer	观察者

obstacle	障碍

obstruction	梗阻

occasion	场合

occupation	占用

occurrence	发生

ocean	海洋

ocean_current	海流

odds	可能性

offense	罪行

offensive	进攻

offensive_line	进攻线

offensive_tackle	进攻铲球

offer	提供

offering	供

office	办公室

office_boy	办公室男孩

office_building	办公楼

office_chair	办公椅

office_mate	办公室伴侣

office_wall	办公室墙

officeholder	官吏

officer	官

official	官方

offseason	淡季

offset	抵消

oil	油

oil_field	油田

oil_paint	油漆

oil_painting	油画

oil_palm	油棕

oil_platform	石油平台

oil_refinery	炼油厂

oil_rig	石油钻机

oil_sand	油砂

oil_well	油井

old	旧

old_boy	老男孩

old_guard	老警卫

old_man	老人

old_time	过去

olive	橄榄

olive_oil	橄榄油

olive_tree	橄榄树

oliver	奥利弗

ongoing	不断的

onion	洋葱

only_child	唯一的孩子

only_daughter	唯一的女儿

only_son	独生子

open	打开

open_air	露天

open_book	打开书

open_cluster	开放集群

open_game	开放游戏

open_house	打开房门

open_letter	打开信封

open_market	公开市场

open_source	开源

open_system	开放系统

open_water	开水

opener	揭幕战

opening	开盘

opening_argument	开场辩论

opening_batsman	击球手

opening_ceremony	开幕式

opening_speech	开场白

opening_statement	开幕词

opera	歌剧

opera_house	歌剧院

opera_singer	歌剧演唱家

operating_expense	运营开支

operating_loss	经营亏损

operating_room	手术室

operating_system	操作系统

operating_theatre	手术室

operation	手术

operative	手术

operator	操作者

opinion	意见

opinion_poll	民意调查

opium	鸦片

opponent	对手

opportunity	机会

opportunity_cost	机会成本

opposite	相反

opposition	反对

optimism	乐观

option	选项

oracle	神谕

oral	口服

orange	橙子

orange_juice	橙汁

orbit	轨道

orchestra	乐队

ordeal	考验

order	订购

ordering	排序

ordinary	普通

ore	矿石

ore_body	矿体

organ	器官

organic	有机

organic_chemistry	有机化学

organic_compound	有机化合物

organic_farming	有机耕作

organic_growth	有机增长

organic_law	组织法

organic_matter	有机物

organisation	组织

organised_crime	有组织犯罪

organism	生物

organization	组织

organized_crime	有组织犯罪

organizer	组织者

organizing	组织

oriental	东方的

orientation	取向

origin	起源

original	原版的

orthodox_jews	东正教犹太人

other	其他

otto	玫瑰油

ottoman	奥斯曼帝国

ounce	盎司

ouster	夺取

outbreak	暴发

outcome	结果

outer	外

outer_space	外太空

outfielder	外野手

outfit	配备

outgoing	传出

outlet	出口

outline	大纲

outlook	外表

outpost	前哨

output	产量

output_device	输出设备

outrage	暴行

outreach	推广

outside	外

outskirts	郊区

oval	椭圆

oven	烤箱

overall	总体

overhaul	翻修

overhead	高架

overhead_kick	头顶踢

overhead_line	架空线

overnight	过夜

overseas_territory	海外领土

oversight	疏忽

overthrow	推翻

overtime	随着时间的推移

overview	概观

owner	所有者

ownership	所有权

ownership_equity	所有权权益

oxford	牛津

oxygen	氧

oxygen_demand	需氧量

oxygen_gas	氧气

oxygen_tank	氧气罐

oxygen_therapy	氧气疗法

pace	步伐

pack	包

pack_animal	打包动物

pack_horse	包马

pack_ice	装冰块

package	包

package_deal	一揽子协议

package_film	包装膜

packaging	打包

packing	填料

packing_plant	包装厂

pact	协议

pad	垫

pad_thai	泰式炒河粉

page	页

pageant	盛会

pain	疼痛

pain_killer	止痛药

pain_threshold	疼痛阈值

paint	涂料

painted_lady	彩绘的女士

painter	画家

painting	绘画

pair	对

pair_programming	配对编程

pal	朋友

palace	宫

pale	苍白

palm	棕榈

palm_oil	棕榈油

palm_sugar	棕榈糖

palm_tree	棕榈树

palm_wine	棕榈酒

palmer	帕尔默

pan	泛

pandemic	流感大流行

panel	面板

panel_discussion	小组讨论会

panic	恐慌

panic_attack	惊恐发作

panic_buying	抢购

panic_room	恐慌室

pants	裤子

paper	纸

paper_clip	回形针

paper_cut	剪纸

paper_flower	纸花

paper_mill	造纸厂

paper_money	纸币

paper_tape	纸胶带

paper_tiger	纸老虎

paper_trail	纸迹

paperwork	证件

par	平价

para	对

parade	游行

parade_ground	阅兵场

paradise	天堂

parallel	平行

parallel_universe	平行宇宙

paramilitary	准军事

pardon	赦免

parent	亲

parent_company	母公司

parish	教区

parish_church	教区教堂

park	公园

parker	帕克

parking	停车处

parking_garage	停车库

parking_lot	停车场

parking_meter	停车收费表

parking_space	停车位

parking_ticket	停车票

parliament	议会

parma	帕尔马

parole	言语

parole_board	假释委员会

parole_officer	假释人员

part	部分

partial	局部

participant	参加者

participation	参与

particular	特定

partisan	党派

partner	伙伴

partnership	合伙

party	派对

party_bus	派对巴士

party_favor	政党恩宠

party_game	派对游戏

party_girl	派对女郎

party_line	派对线

party_politics	政党政治

party_school	党校

party_state	党国

party_whip	派对鞭

pass	通过

passage	通道

passageway	通道

passenger	乘客

passenger_car	乘用车

passenger_ship	客船

passenger_train	旅客列车

passing	通过

passion	情

passion_fruit	百香果

passion_play	激情游戏

passionate	多情

passive	被动

passport	护照

past	过去

pasta	意大利面条

pastor	牧师

pat	拍

patch	补丁

patent	专利

patent_medicine	专利药

path	路径

path_length	路径长度

pathway	路

patience	忍耐

patient	患者

patriarch	家长

patriot	爱国者

patrol	巡逻

patrol_car	巡逻车

patron	顾客

patron_saint	守护神

pattern	图案

pattern_language	模式语言

pattern_matching	模式匹配

paul	保罗

pause	暂停

pavilion	亭

pay	工资

pay_day	发薪日

pay_dirt	财源

pay_television	付费电视

payer	付款人

payment	付款

payment_service	付款服务

payroll	工资表

peace	和平

peace_dividend	和平红利

peace_offering	和平奉献

peace_process	和平进程

peace_sign	和平标志

peace_treaty	和平条约

peacekeeping	维

peak	峰

peak_flow	峰值流量

peak_hour	高峰时刻

peak_oil	峰值油

peak_season	旺季

pearl	珍珠

peer	窥视

peer_pressure	同辈压力

peer_review	同行评审

pen	钢笔

pen_drive	笔式驱动器

pen_name	笔名

penalty	罚款

penalty_area	禁区

penalty_box	罚款箱

penalty_corner	罚角

penalty_goal	罚球

penalty_kick	罚球

penalty_phase	惩罚阶段

penalty_shootout	点球大战

penalty_spot	罚款点

penalty_try	罚款尝试

pence	便士

peninsula	半岛

penny	一分钱

pension	养老金

pension_fund	养老保险基金

pentagon	五角大楼

peoples	人们

pepper	胡椒

perceiver	知觉

percent	百分

percentage	百分比

percentage_point	百分点

percentage_rate	百分比率

perception	知觉

perennial	多年生

perfect_game	完美的游戏

perfect_storm	完美风暴

performance	性能

performance_art	表演艺术

performance_management	绩效管理

performance_metric	绩效指标

performer	演员

performing_art	表演艺术

perimeter	周长

period	期

period_piece	时期片

permanent	常驻

permission	允许

permit	允许

perpetrator	肇事者

perry	佩里

persecution	迫害

person	人

personal	个人

personal_assistant	私人助理

personal_computer	个人电脑

personal_injury	人身伤害

personal_life	个人生活

personal_name	个人名字

personal_property	私人财产

personal_trainer	私人教练

personal_union	个人联盟

personality	个性

